time,epoch,train_loss,val_loss,val_acc,val_f1_macro
2025-11-26 20:20:33,1,0.19565668515311788,0.18482767096936822,0.7938885560215698,0.6434375240122485
2025-11-26 20:22:50,2,0.14895044111655145,0.1327150570444146,0.8004793289394847,0.7050018337064569
2025-11-26 20:25:07,3,0.12900954277454155,0.11697323861952338,0.8831635710005992,0.7920759170367154
2025-11-26 20:27:25,4,0.11806840797210029,0.11675822462825154,0.890653085680048,0.7960577226086273
2025-11-26 20:29:42,5,0.11303736139603483,0.11514326409824478,0.878070701018574,0.7873526045990844
2025-11-26 20:32:01,6,0.09940513431516848,0.0942573094987479,0.8517076093469144,0.7780429147780926
2025-11-26 20:34:18,7,0.0954211264770434,0.1057766512147206,0.8933493109646495,0.8001413191435104
2025-11-26 20:36:36,8,0.08940374604071724,0.08477398999505409,0.8951467944877172,0.8204822364452536
2025-11-26 20:38:52,9,0.07922841913197848,0.08882464680686926,0.8753744757339724,0.8010853369816497
2025-11-26 20:41:09,10,0.07866402555051857,0.10671324429759853,0.8502097064110246,0.7669548565932643
2025-11-26 20:43:25,11,0.07159004724837639,0.09632013116088985,0.8825644098262433,0.8112401078778871
2025-11-26 20:45:42,12,0.07138852404037141,0.08636513114847703,0.8969442780107849,0.8212377571292441
2025-11-26 20:48:00,13,0.06874647867947911,0.09095737955187033,0.9122228879568604,0.8478598400210847
2025-12-19 00:35:46,1,0.1972145794427109,0.2211959439140009,0.7555422408627921,0.5633832659279421
2025-12-19 00:38:37,2,0.15342872129610272,0.14169479991344877,0.7774116237267825,0.681085157910818
2025-12-19 00:41:23,3,0.13005062710560955,0.16514973980460101,0.8031755542240863,0.690349815509944
2025-12-19 00:44:11,4,0.11621296612355077,0.0978279812036713,0.8870581186339125,0.8032739687130622
2025-12-19 00:46:57,5,0.11130744307924992,0.12351935989624124,0.8648891551827441,0.7658581373839087
2025-12-19 00:49:44,6,0.10322188829703154,0.10278647999530283,0.8624925104853205,0.7777777963118907
2025-12-19 00:53:08,7,0.09240560883763864,0.09272535038992757,0.9056321150389455,0.82865324974358
